Days,Harvest,C.L,ID,C.CHN,H.CHN,N.CHN,C.N.CHN,CT,LN.C,LN.H,LN.N,LN.CN,LN.CT
0,0,Catkins,F1,46.12,6.67,1.28,36.03125,1.8,3.9,2,0.8,3.6,1
0,0,Catkins,F2,46.28,6.63,1.4,33.05714286,1.2,3.9,2,0.9,3.5,0.8
0,0,Catkins,F3,46.19,6.6,1.35,34.21481481,1.7,3.9,2,0.9,3.6,1
0,0,Catkins,F4,46.17,6.71,1.48,31.19594595,1.4,3.9,2,0.9,3.5,0.9
0,0,Catkins,F5,46.06,6.76,1.47,31.33333333,1.5,3.9,2,0.9,3.5,0.9
0,0,Catkins,F6,,,,,1.2,,,,,0.8
0,0,Catkins,F7,,,,,1.8,,,,,1
0,0,Catkins,F8,,,,,1,,,,,0.7
0,0,Catkins,F8,,,,,1.7,,,,,1
0,0,Leaves,8308,44.74,6.08,0.75,59.65333333,5.8,3.8,2,0.6,4.1,1.9
0,0,Leaves,8350,43.74,6.08,0.93,47.03225806,6.6,3.8,2,0.7,3.9,2
0,0,Leaves,8360,,,,,6.6,,,,,2
0,0,Leaves,8363,45.08,6.2,1.59,28.35220126,5.6,3.8,2,1,3.4,1.9
0,0,Leaves,8364,,,,,7.5,,,,,2.1
0,0,Leaves,8372,44.56,5.99,2.11,21.11848341,11.3,3.8,1.9,1.1,3.1,2.5
0,0,Leaves,8383,44.3,5.99,1.33,33.30827068,8.1,3.8,1.9,0.8,3.5,2.2
