Litterbag,Rebar,Litter,Harvest,LitterHarvest,Days,Co,copepod,DiChi,DiDix,DiEmp,DiPsyMar,DiSim,DiTipDic,EpBae,EpLep,mite,oligochaeta,ostracod,PlCap,PlNem,snail,TrHpt,TrLepLep,TrLim,Abundance,Richness,Ln.Richness,Shannons.H,Simpsons,Evenness,Abundance.log,Richness.log,Shannons.H.log,Simpsons.log,Evenness.log
74,3,Catkins,2,C2,22,0,7,13,0,0,0,0,0,0,2,0,0,33,2,4,0,2,1,0,64,8,2.08,1.37,0.64,0.66,1.81,0.95,0.38,0.22,0.22
87,5,Leaves,1,L1,7,0,0,2,0,0,0,0,0,0,9,1,0,18,0,6,0,0,0,0,36,5,1.61,0.97,0.47,0.60,1.57,0.78,0.29,0.17,0.21
109,2,Leaves,1,L1,7,0,0,1,0,0,0,0,0,0,5,0,0,19,0,3,0,0,0,0,28,4,1.39,0.70,0.35,0.50,1.46,0.70,0.23,0.13,0.18
120,4,Catkins,2,C2,22,0,7,17,0,3,0,0,0,0,0,1,0,15,1,7,0,6,4,0,61,9,2.20,1.28,0.54,0.58,1.79,1.00,0.36,0.19,0.20
125,1,Catkins,2,C2,22,0,25,17,0,1,1,0,1,0,9,2,0,70,3,9,0,7,6,0,151,12,2.48,1.64,0.72,0.66,2.18,1.11,0.42,0.23,0.22
151,2,Catkins,1,C1,7,0,2,2,0,0,0,0,0,0,11,0,0,95,1,9,0,0,0,0,120,6,1.79,1.03,0.56,0.57,2.08,0.85,0.31,0.19,0.20
157,2,Leaves,2,L2,22,0,1,6,0,1,0,0,0,0,2,0,0,3,3,4,0,3,0,0,23,8,2.08,0.63,0.24,0.30,1.38,0.95,0.21,0.09,0.11
175,1,Leaves,1,L1,7,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,8,5,1.61,0.26,0.09,0.16,0.95,0.78,0.10,0.04,0.06
177,4,Leaves,2,L2,22,0,0,24,0,1,0,0,0,0,1,4,1,2,2,9,0,1,0,0,45,9,2.20,0.81,0.35,0.37,1.66,1.00,0.26,0.13,0.14
198,2,Leaves,3,L3,37,0,0,4,0,0,0,0,0,0,2,2,0,0,0,1,0,5,0,8,22,6,1.79,0.48,0.19,0.27,1.36,0.85,0.17,0.07,0.10
244,2,Catkins,3,C3,37,0,33,5,0,0,0,0,0,0,9,2,0,7,1,3,0,10,2,4,76,10,2.30,0.98,0.41,0.42,1.89,1.04,0.30,0.15,0.15
250,5,Catkins,3,C3,37,0,2,7,0,0,0,0,0,0,3,0,0,12,0,3,0,3,0,1,31,7,1.95,0.53,0.21,0.27,1.51,0.90,0.19,0.08,0.10
262,2,Catkins,2,C2,22,0,19,8,0,1,0,0,0,0,7,3,0,30,1,1,0,6,0,10,86,10,2.30,1.01,0.42,0.44,1.94,1.04,0.30,0.15,0.16
269,5,Catkins,2,C2,22,0,4,6,0,0,0,0,0,1,6,0,0,74,0,7,1,1,3,0,103,9,2.20,0.90,0.44,0.41,2.02,1.00,0.28,0.16,0.15
283,5,Leaves,3,L3,37,1,0,2,0,0,0,0,0,0,3,0,0,3,0,1,0,1,0,0,11,6,1.79,0.22,0.07,0.12,1.08,0.85,0.09,0.03,0.05
