Litterbag,Co,copepod,DiChi,DiDix,DiEmp,DiPsyMar,DiSim,DiTipDic,EpBae,EpLep,mite,oligochaeta,ostracod,PlCap,PlNem,snail,TrHpt,TrLepLep,TrLim
74,0,0.903089987,1.146128036,0,0,0,0,0,0,0.477121255,0,0,1.531478917,0.477121255,0.698970004,0,0.477121255,0.301029996,0
87,0,0,0.477121255,0,0,0,0,0,0,1,0.301029996,0,1.278753601,0,0.84509804,0,0,0,0
109,0,0,0.301029996,0,0,0,0,0,0,0.77815125,0,0,1.301029996,0,0.602059991,0,0,0,0
120,0,0.903089987,1.255272505,0,0.602059991,0,0,0,0,0,0.301029996,0,1.204119983,0.301029996,0.903089987,0,0.84509804,0.698970004,0
125,0,1.414973348,1.255272505,0,0.301029996,0.301029996,0,0.301029996,0,1,0.477121255,0,1.851258349,0.602059991,1,0,0.903089987,0.84509804,0
151,0,0.477121255,0.477121255,0,0,0,0,0,0,1.079181246,0,0,1.982271233,0.301029996,1,0,0,0,0
157,0,0.301029996,0.84509804,0,0.301029996,0,0,0,0,0.477121255,0,0,0.602059991,0.602059991,0.698970004,0,0.602059991,0,0
175,0,0,0.301029996,0,0,0,0,0,0,0,0,0,0.477121255,0.301029996,0.477121255,0,0,0.301029996,0
177,0,0,1.397940009,0,0.301029996,0,0,0,0,0.301029996,0.698970004,0.301029996,0.477121255,0.477121255,1,0,0.301029996,0,0
198,0,0,0.698970004,0,0,0,0,0,0,0.477121255,0.477121255,0,0,0,0.301029996,0,0.77815125,0,0.954242509
244,0,1.531478917,0.77815125,0,0,0,0,0,0,1,0.477121255,0,0.903089987,0.301029996,0.602059991,0,1.041392685,0.477121255,0.698970004
250,0,0.477121255,0.903089987,0,0,0,0,0,0,0.602059991,0,0,1.113943352,0,0.602059991,0,0.602059991,0,0.301029996
262,0,1.301029996,0.954242509,0,0.301029996,0,0,0,0,0.903089987,0.602059991,0,1.491361694,0.301029996,0.301029996,0,0.84509804,0,1.041392685
269,0,0.698970004,0.84509804,0,0,0,0,0,0.301029996,0.84509804,0,0,1.875061263,0,0.903089987,0.301029996,0.301029996,0.602059991,0
283,0.301029996,0,0.477121255,0,0,0,0,0,0,0.602059991,0,0,0.602059991,0,0.301029996,0,0.301029996,0,0
297,0,0,0.954242509,0,0,0,0,0,0,0.84509804,0,0,1.176091259,0.84509804,1.851258349,0,0,0.477121255,0
311,0,0.477121255,1.146128036,0,0,0,0,0,0,0.301029996,0,0,1.924279286,0.77815125,0.77815125,0,0,0,0
316,0.301029996,0,0.698970004,0,0.301029996,0,0,0,0,0.301029996,0.301029996,0,0.602059991,0.77815125,0.602059991,0.301029996,1.230448921,0,0.698970004
346,0,0,1.230448921,0,0,0,0.301029996,0,0,0.477121255,0,0,1.146128036,1,1.986771734,0,0.301029996,0.602059991,0
370,0.301029996,0.954242509,1,0,0.602059991,0,0,0,0,0.477121255,0.77815125,0,0.84509804,0,1.113943352,0.301029996,1.380211242,0,0.477121255
374,0,0,1.255272505,0,0.301029996,0,0,0,0,0.602059991,0.301029996,0,0.602059991,0.903089987,1.556302501,0,0,0,0
383,0,0,0.903089987,0,0,0,0,0,0,0.77815125,0,0,0.903089987,0.477121255,0.602059991,0,0,0.301029996,0.301029996
384,0,0,1,0.301029996,0,0,0,0,0,1,0.477121255,0.477121255,1.079181246,0.954242509,1.361727836,0,0.301029996,0.477121255,0
389,0,0.301029996,0.84509804,0,0,0,0,0,0,0.477121255,0.602059991,0,1.113943352,0.602059991,0.301029996,0,1,0.301029996,0.301029996
396,0,0,0.301029996,0,0,0,0,0,0,0.903089987,0.301029996,0,0.602059991,0.301029996,0.301029996,0,0,0.301029996,0
406,0,1.698970004,0.477121255,0,0.602059991,0,0,0,0,0.477121255,0.84509804,0.301029996,1.929418926,0.301029996,0.903089987,0,1.602059991,0,0.77815125
454,0,0.477121255,0.77815125,0,0,0,0,0,0,0.77815125,0.84509804,0,0.301029996,0.477121255,0.602059991,0.301029996,0.77815125,0,0.477121255
460,0,0,0.698970004,0,0.301029996,0,0,0,0,0.301029996,0.77815125,0,0.301029996,0.301029996,0.903089987,0.602059991,1.278753601,0,0.477121255
477,0,1.301029996,0.698970004,0,0,0,0,0,0,0.84509804,0.477121255,0,0.903089987,0,0.602059991,0.477121255,0.903089987,0,0.84509804
478,0,0,0.477121255,0,0,0,0,0,0,0.77815125,0.477121255,0,1.204119983,0,0.301029996,0,0,0,0
